S,N,C,D,E,T,error,prob,type
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
0.9969604863221885,0.8997387328543436,0.9750947482403898,0.9156902699949058,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
1.0,0.8571428571428571,0.8726053639846744,0.505512909979065,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
